grid point,x,y,z,shots expected,shots delivered,time taken,u,v,w
516,-6.03,457.19,259.91,1,0,1.000,25.000,-1.500,180.000
517,-5.90,456.93,259.91,1,0,1.000,27.500,-1.500,180.000
518,-5.76,456.67,259.91,1,0,1.000,30.000,-1.500,180.000
519,-5.61,456.42,259.91,1,0,1.010,32.500,-1.500,180.000
520,-5.45,456.18,259.91,1,0,1.000,35.000,-1.500,180.000
521,-5.28,455.95,259.91,1,0,1.001,37.500,-1.500,180.000
522,-5.10,455.72,259.91,1,0,0.999,40.000,-1.500,180.000
523,-4.91,455.50,259.91,1,0,1.001,42.500,-1.500,180.000
524,-4.71,455.29,259.91,1,0,1.000,45.000,-1.500,180.000
525,-4.50,455.09,259.91,1,0,0.999,47.500,-1.500,180.000
526,-4.28,454.90,259.91,1,0,1.000,50.000,-1.500,180.000
527,-4.05,454.72,259.91,1,0,1.000,52.500,-1.500,180.000
528,-3.82,454.55,259.91,1,0,1.000,55.000,-1.500,180.000
529,-3.58,454.39,259.91,1,0,1.000,57.500,-1.500,180.000
530,-3.33,454.24,259.91,1,0,1.000,60.000,-1.500,180.000
531,-3.07,454.10,259.91,1,0,1.001,62.500,-1.500,180.000
532,-2.81,453.97,259.91,1,0,0.999,65.000,-1.500,180.000
533,-2.55,453.85,259.91,1,0,1.001,67.500,-1.500,180.000
534,-2.28,453.75,259.91,1,0,0.999,70.000,-1.500,180.000
535,-2.00,453.65,259.91,1,0,1.000,72.500,-1.500,180.000
536,-1.72,453.57,259.91,1,0,1.000,75.000,-1.500,180.000
537,-1.44,453.50,259.91,1,0,1.001,77.500,-1.500,180.000
538,-1.16,453.45,259.91,1,0,0.999,80.000,-1.500,180.000
539,-0.87,453.40,259.91,1,0,1.011,82.500,-1.500,180.000
540,-0.58,453.37,259.91,1,0,0.999,85.000,-1.500,180.000
541,-0.29,453.35,259.91,1,0,1.000,87.500,-1.500,180.000
542,-0.00,453.34,259.91,1,0,1.000,90.000,-1.500,180.000
543,0.29,453.35,259.91,1,0,1.000,92.500,-1.500,180.000
544,0.58,453.37,259.91,1,0,1.000,95.000,-1.500,180.000
545,0.87,453.40,259.91,1,0,1.001,97.500,-1.500,180.000
546,1.16,453.45,259.91,1,0,0.999,100.000,-1.500,180.000
547,1.44,453.50,259.91,1,0,1.000,102.500,-1.500,180.000
548,1.72,453.57,259.91,1,0,1.000,105.000,-1.500,180.000
549,2.00,453.65,259.91,1,0,1.000,107.500,-1.500,180.000
550,2.28,453.75,259.91,1,0,1.001,110.000,-1.500,180.000
551,2.55,453.85,259.91,1,0,0.999,112.500,-1.500,180.000
552,2.81,453.97,259.91,1,0,1.001,115.000,-1.500,180.000
553,3.07,454.10,259.91,1,0,0.999,117.500,-1.500,180.000
554,3.33,454.24,259.91,1,0,1.001,120.000,-1.500,180.000
555,3.58,454.39,259.91,1,0,1.000,122.500,-1.500,180.000
556,3.82,454.55,259.91,1,0,0.999,125.000,-1.500,180.000
557,4.05,454.72,259.91,1,0,1.010,127.500,-1.500,180.000
558,4.28,454.90,259.91,1,0,1.000,130.000,-1.500,180.000
559,4.50,455.09,259.91,1,0,1.001,132.500,-1.500,180.000
560,4.71,455.29,259.91,1,0,0.999,135.000,-1.500,180.000
561,4.91,455.50,259.91,1,0,1.000,137.500,-1.500,180.000
562,5.10,455.72,259.91,1,0,1.001,140.000,-1.500,180.000
563,5.28,455.95,259.91,1,0,0.999,142.500,-1.500,180.000
564,5.45,456.18,259.91,1,0,1.001,145.000,-1.500,180.000
565,5.61,456.42,259.91,1,0,0.999,147.500,-1.500,180.000
566,5.76,456.67,259.91,1,0,1.000,150.000,-1.500,180.000
567,5.90,456.93,259.91,1,0,1.000,152.500,-1.500,180.000
568,6.03,457.19,259.91,1,0,1.001,155.000,-1.500,180.000
569,6.15,457.45,259.91,1,0,0.999,157.500,-1.500,180.000
570,6.25,457.72,259.91,1,0,1.000,160.000,-1.500,180.000
571,0.00,460.00,260.00,1,0,1.501,160.000,0.000,180.000
572,0.00,460.00,260.00,1,0,0.999,157.500,0.000,180.000
573,0.00,460.00,260.00,1,0,1.001,155.000,0.000,180.000
574,0.00,460.00,260.00,1,0,0.999,152.500,0.000,180.000
575,0.00,460.00,260.00,1,0,1.011,150.000,0.000,180.000
576,0.00,460.00,260.00,1,0,0.999,147.500,0.000,180.000
577,0.00,460.00,260.00,1,0,1.000,145.000,0.000,180.000
578,0.00,460.00,260.00,1,0,1.001,142.500,0.000,180.000
579,0.00,460.00,260.00,1,0,0.999,140.000,0.000,180.000
580,0.00,460.00,260.00,1,0,1.000,137.500,0.000,180.000
581,0.00,460.00,260.00,1,0,1.000,135.000,0.000,180.000
582,0.00,460.00,260.00,1,0,1.000,132.500,0.000,180.000
583,0.00,460.00,260.00,1,0,1.001,130.000,0.000,180.000
584,0.00,460.00,260.00,1,0,0.999,127.500,0.000,180.000
585,0.00,460.00,260.00,1,0,1.001,125.000,0.000,180.000
586,0.00,460.00,260.00,1,0,0.999,122.500,0.000,180.000
587,0.00,460.00,260.00,1,0,1.000,120.000,0.000,180.000
588,0.00,460.00,260.00,1,0,1.000,117.500,0.000,180.000
589,0.00,460.00,260.00,1,0,1.000,115.000,0.000,180.000
590,0.00,460.00,260.00,1,0,1.001,112.500,0.000,180.000
591,0.00,460.00,260.00,1,0,1.000,110.000,0.000,180.000
592,0.00,460.00,260.00,1,0,1.000,107.500,0.000,180.000
593,0.00,460.00,260.00,1,0,1.010,105.000,0.000,180.000
594,0.00,460.00,260.00,1,0,0.999,102.500,0.000,180.000
595,0.00,460.00,260.00,1,0,1.000,100.000,0.000,180.000
596,0.00,460.00,260.00,1,0,1.000,97.500,0.000,180.000
597,0.00,460.00,260.00,1,0,1.000,95.000,0.000,180.000
598,0.00,460.00,260.00,1,0,1.000,92.500,0.000,180.000
599,0.00,460.00,260.00,1,0,1.000,90.000,0.000,180.000
600,0.00,460.00,260.00,1,0,1.000,87.500,0.000,180.000
601,0.00,460.00,260.00,1,0,1.001,85.000,0.000,180.000
602,0.00,460.00,260.00,1,0,1.000,82.500,0.000,180.000
603,0.00,460.00,260.00,1,0,1.000,80.000,0.000,180.000
604,0.00,460.00,260.00,1,0,0.999,77.500,0.000,180.000
605,0.00,460.00,260.00,1,0,1.001,75.000,0.000,180.000
606,0.00,460.00,260.00,1,0,0.999,72.500,0.000,180.000
607,0.00,460.00,260.00,1,0,1.000,70.000,0.000,180.000
608,0.00,460.00,260.00,1,0,1.001,67.500,0.000,180.000
609,0.00,460.00,260.00,1,0,0.999,65.000,0.000,180.000
610,0.00,460.00,260.00,1,0,1.000,62.500,0.000,180.000
611,0.00,460.00,260.00,1,0,1.000,60.000,0.000,180.000
612,0.00,460.00,260.00,1,0,1.000,57.500,0.000,180.000
613,0.00,460.00,260.00,1,0,1.011,55.000,0.000,180.000
614,0.00,460.00,260.00,1,0,0.999,52.500,0.000,180.000
615,0.00,460.00,260.00,1,0,1.000,50.000,0.000,180.000
616,0.00,460.00,260.00,1,0,1.001,47.500,0.000,180.000
617,0.00,460.00,260.00,1,0,0.999,45.000,0.000,180.000
618,0.00,460.00,260.00,1,0,1.000,42.500,0.000,180.000
619,0.00,460.00,260.00,1,0,1.001,40.000,0.000,180.000
620,0.00,460.00,260.00,1,0,1.000,37.500,0.000,180.000
621,0.00,460.00,260.00,1,0,0.999,35.000,0.000,180.000
622,0.00,460.00,260.00,1,0,1.000,32.500,0.000,180.000
623,0.00,460.00,260.00,1,0,1.000,30.000,0.000,180.000
624,0.00,460.00,260.00,1,0,1.001,27.500,0.000,180.000
625,0.00,460.00,260.00,1,0,0.999,25.000,0.000,180.000
626,0.00,460.00,260.00,1,0,1.000,22.500,0.000,180.000
627,0.00,460.00,260.00,1,0,1.000,20.000,0.000,180.000
